timestamp,open,high,low,close,volume
2025-03-31 21:55:00,82656.7,82656.7,82535.3,82549.0,13.380527
2025-03-31 22:00:00,82549.0,82562.5,82396.3,82441.8,31.792612
2025-03-31 22:05:00,82441.8,82497.1,82396.2,82445.9,15.910794
2025-03-31 22:10:00,82445.9,82495.2,82390.0,82415.8,13.501156
2025-03-31 22:15:00,82415.8,82415.8,82264.6,82311.7,19.883525
2025-03-31 22:20:00,82311.7,82320.6,82259.0,82320.6,10.228181
2025-03-31 22:25:00,82320.6,82362.6,82267.1,82346.1,7.71919
2025-03-31 22:30:00,82346.1,82392.3,82314.4,82357.6,9.541882
2025-03-31 22:35:00,82357.6,82357.6,82263.6,82319.8,14.215681
2025-03-31 22:40:00,82319.8,82348.2,82286.2,82319.9,8.65464
2025-03-31 22:45:00,82319.9,82353.2,82274.7,82345.2,6.096189
2025-03-31 22:50:00,82345.2,82379.2,82296.0,82367.4,6.800734
2025-03-31 22:55:00,82367.4,82409.5,82365.3,82405.2,8.417268
2025-03-31 23:00:00,82405.2,82517.9,82370.4,82511.5,12.288075
2025-03-31 23:05:00,82511.5,82586.0,82495.3,82553.0,30.308981
2025-03-31 23:10:00,82553.0,82639.7,82522.3,82556.4,14.134964
2025-03-31 23:15:00,82556.4,82876.2,82510.8,82515.9,46.357568
2025-03-31 23:20:00,82515.9,82576.5,82396.22,82419.6,43.417854
2025-03-31 23:25:00,82419.6,82423.0,82318.2,82349.7,13.911567
2025-03-31 23:30:00,82349.7,82425.1,82280.5,82420.7,12.133817
2025-03-31 23:35:00,82420.7,82540.0,82420.6,82473.1,13.962459
2025-03-31 23:40:00,82473.1,82499.9,82439.5,82468.2,10.036497
2025-03-31 23:45:00,82468.2,82474.2,82386.8,82407.1,5.750769
2025-03-31 23:50:00,82407.1,82544.4,82397.4,82544.4,5.616141
2025-03-31 23:55:00,82544.4,82587.9,82509.2,82543.0,24.423172
2025-04-01 00:00:00,82543.0,82618.2,82475.4,82618.2,17.733694
2025-04-01 00:05:00,82618.2,82708.9,82611.2,82657.3,13.172912
